Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temp_difference,power_proxy,wear_torque_ratio,temp_stress_index,rpm_torque_interaction,wear_category
1,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999,0.0,449.4,66382.79999999999,-1
0,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.399999999994,0.06342494714587739,486.15,65190.399999999994,0
0,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,74001.2,0.09920634920634921,513.7599999999989,74001.2,0
0,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,56603.5,0.1728395061728395,410.8000000000013,56603.5,0
0,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,56320.0,0.21951219512195122,420.0,56320.0,0
1,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5,0.25641025641025644,439.95,59707.5,0
0,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2,0.3225806451612903,445.2,66059.2,0
0,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4,0.3883495145631068,422.1,61385.4,0
1,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,47676.200000000004,0.6081081081081081,297.4399999999994,47676.200000000004,0
1,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,48748.0,0.7241379310344828,294.0,48748.0,0
2,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.799999999996,0.9638554216867471,250.95,42589.799999999996,0
2,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.899999999994,0.6401766004415012,465.15,63038.899999999994,0
1,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001,0.6525911708253359,536.5500000000001,68422.90000000001,0
1,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,52260.0,1.1935483870967742,317.999999999999,52260.0,0
0,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886.0,1.9417475728155338,207.75999999999934,39886.0,0
0,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8,0.8502024291497976,513.0399999999984,74632.8,0
1,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6,0.9243697478991596,493.95999999999844,61092.6,0
1,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296.0,1.0085836909871244,478.8,64296.0,0
2,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,71177.0,0.9009009009009009,566.7999999999988,71177.0,0
